Round steak,17.67
Sirloin steak,23.06
Prime rib roast,31.86
Blade roast,16.02
Stewing beef,15.45
Ground beef,11.29
Pork chops,11.72
Chicken,7.29
Bacon,7.12
Wieners,4.33
Canned salmon,5.68
Homogenized milk,5.79
Partly skimmed milk,5.20
Butter,4.99
Processed cheese slices,2.53
Evaporated milk,1.89
Eggs,3.11
Bread,2.74
Soda crackers,3.27
Macaroni,1.45
Flour,4.54
Corn flakes,5.72
Apples,4.71
Bananas,1.56
Oranges,3.70
Apple juice,2.06
Orange juice,4.13
Carrots,2.15
Mushrooms,8.66
Onions,2.19
Potatoes,8.79
French fried potatoes,2.61
Baked beans,1.23
Tomatoes,1.52
Tomato juice,2.50
Ketchup,3.66
Sugar,2.59
Coffee,7.28
Tea,4.16
Cooking or salad oil,3.44
Soup,1.21
Baby food,1.27
Peanut butter,3.14
Paper towels,3.19
Facial tissue,3.44
Bathroom tissue,2.72
Shampoo,4.03
Deodorant,4.69
Toothpaste,2.99
Cigarettes,118.83